"Imperial Army Camp, Year 997",帝国軍宿営地、997年
Chapter 1: Rebellion,第1章:反乱
Engage with the forces of the Antares Rebellion and seize Eastwall Fortress for the Imperial Army.,アンタレスの反乱軍と戦い、帝国軍の一員としてイーストウォール砦を占領しよう。
"Eastwall Fortress, Year 997",イーストウォール砦、997年
Chapter 2: For Whose Sake?,第2章:誰がために
Antares has fled with Empress Florina to the deep forest. Pursue his army and approach the main rebel hideout at Centurion's Rest.,アンタレスは、フロリーナ女帝と共に森の奥へ逃亡した。彼の軍隊を追跡し、センチュリオンズレストにある反乱軍の拠点に接近しよう。
"Centurion's Rest, Year 997",センチュリオンズレスト、997年
Chapter 3: Crimson Star,第3章:赤い星
Antares is trapped in Centurion's Rest. Fight alongside the Imperial Army to besiege Centurion's Rest and destroy the rebellion.,アンタレスはセンチュリオンズレストに立て籠もった。センチュリオンズレストを包囲し、反乱を鎮圧するために帝国軍と共に戦おう。
"Secret Prison near Granheim, Year 997",グランハイム近郊の秘密牢獄、997年
Chapter 4: Paradigm Shift,第4章:パラダイム・シフト
"Stefan, master spy of the Donari Temple, must pull off a daring rescue from the clutches of the Followers of Zanatus.",ドナー神殿のスパイであるステファンは、ザナトゥス教団を出し抜くために、大胆な救出作戦を実行する。
"Granheim Abbey, Year 997",グランハイム修道院、997年
Chapter 5: Divine Hammer of the Donari,第5章:ドナー神の鉄槌
Chapter 5: Divine Hammer,第5章:神の鉄槌
"Time to begin the journey to Lemelin Monastery. We will have to fight our way back, every step of the way.",レメリン修道院へ向かう時が来た。その途上では、様々な敵と戦わなければならない。
"Fort Naxos, Year 997",ナクソス砦、997年
Chapter 6: Journey to Lemelin,第6章:レメリンへの旅路
The Tidereaver Pirates have been unleashed upon us. We must hold Fort Naxos against their attack at all costs.,タイドリーバーのならず者たちが襲いかかってきた。なんとしてもナクソス砦を守り抜こう。
"Port Jenos, Year 997",ジェノス港、997年
Chapter 7: Tidereaver,第7章:タイドリーバー
A massive storm has forced the Tidereaver fleet to chain together and wait. We will capitalize on their weakness.,大嵐により、タイドリーバーの船団は海上に留まることを余儀なくされている。ならば、この機を利用しない手はないだろう。
"Encampment at Greyden Swamp, Year 997",グレイデン湿地の野営地、997年
Chapter 8: Marooned,第8章:孤島の戦い
"The storm damaged our own ships, forcing us off course. But now, we have the opportunity to annihilate the Tidereaver presence completely.",嵐は一行の船に損害を与え、進路変更を余儀なくされた。しかし怪我の功名か、タイドリーバーを壊滅させる絶好のチャンスが巡ってきたのだった。
"Lemelin Monastery, Year 997",レメリン修道院、997年
Chapter 9: Sanctuary,第9章:聖域
We've reached Lemelin at last. But our enemies are eager to strike at any moment...,ついにレメリンに到着した。しかし、敵はどうやらこちらへの襲撃を渇望しているようだ...
Chapter 10: To War,第10章:戦火の中へ
"The Veridian Civil War has begun. We find ourselves aligned with the Western forces, in direct opposition to the Prime Minister. We set out now to save Isanter's capital city, and liberate Trucea.",ベリディア内乱開戦の火ぶたが落とされた。西側陣営と同盟を結んだことにより、これからカサミール首相と全面対決することになる。さあ、イサンテルの都を救い、トルセアを解放するために行軍を開始しよう。
"Trucea, Year 997",トルセア、997年
Chapter 11: Deadly Gambit,第11章:危険な策略
"The Eastern forces are off balance. Time to take the fight to their turf. Their main base of operations lies ahead, at Fort Eureeka.",東側陣営にほころびが出ている。今こそ敵の縄張りに乗り込み、戦いを挑もう。敵陣営の主要な作戦基地は前線のエウレカ砦にある。
"Fort Eureeka, Year 997",エウレカ砦、997年
Chapter 12: Upheaval,第12章:混沌
"We've taken Fort Eureeka, but the Eastern forces remain steadfast. Man the defenses at Fort Eureeka and prepare for the battle of our lives.",エウレカ砦を制圧したが、東側陣営の戦力は依然として堅固だ。エウレカ砦の防御を固め、命がけの戦いに備えよう。
"Rimorgue River Valley, Year 997",リモーグ渓谷、997年
Chapter 13: Conquest,第13章:制圧
Casamir has no business leading armies. Let us show him how it is done. Conquer Rimorgue and crush the resistance at Stormrook.,カサミールは戦争のなんたるかをわかっていない。本物のやり方を見せつけるためにリモーグを征服し、ストームルークの抵抗勢力を粉砕しよう。
"Westerfield Keep, Year 999",ウェスターフィールド砦、999年
"Chapter 14: Paladin, Undaunted",第14章:不屈のパラディン
"Diana's Rebellion has stormed Westerfield Keep, a child detention facility. Wipe out the defenders and free the prisoners.",ダイアナの一行は、子供たちの収容施設であるウェスターフィールド砦を襲撃した。敵を一掃し、囚われた子供たちを解放しよう。
"Outside Westerfield, year 999",ウェスターフィールド、999年
Chapter 15: Westerfield Escape,第15章:救出作戦
"We've freed the children, but overwhelming reinforcements have arrived. We must cross the river and arrive safely at Centurion's Rest before we are overtaken.",子供たちは解放したが、じきに敵の増援が来るだろう。追いつかれる前に川を渡り、センチュリオンズレストに到着しなければ、子供たちを守り抜くことはできない。
"Centurion's Rest, Year 999",センチュリオンズレスト、999年
Chapter 16: Desperation,第16章:絶望
"We cannot ignore the Nephilim Prophecy any longer. Break into the Imperial Palace via its rear sally port, clearing the way to Mount Ptolomea.",もはやネフィリムの予言を無視することはできない。後方にある出撃路から宮殿に侵入し、プトロメア山への道を突き進もう。
"Rebel Front Base, Year 999",反乱軍の前線基地、999年
Chapter 17: Coaxing the Divine,第17章:神の説得
"The enemy has taken great measures to prevent access to the path to Mount Ptolomea. We must shatter their magical barrier, allowing Diana free passage to her destiny.",敵はプトロメア山への道に向かうことを阻止するために、多大な手段を講じている。用意された魔法の壁を打ち破り、ダイアナの願いを成就させよう。
Chapter 18: Emborian Dawn,第18章:エンボーの夜明け
"The Avatar of Donar has returned to Tahnra, signaling the true beginning of the Nephilim Army. Our first objective is to liberate the far north lands of Embor.",ドナーの化身がターンラに戻り、新生ネフィリム軍が誕生した。その最初の目標は、北の大地エンボーを解放することだ。
"Embor, Year 999",エンボー、999年
Chapter 19: Return to Eastwall,第19章:イーストウォールへの帰還
"Lysander has managed to establish a stronghold in Eastwall Fortress, but faces overwhelming odds. We must reinforce his army and reunite with our companions.",ライサンダーはイーストウォール砦に拠点を築くことに成功したが、未だ圧倒的に不利な状況にある。彼の軍を援護し、再会を果たそう。
Chapter 20: Wild Card,第20章:不確定要素
The Historium Magnus has been stolen! We know the thief has fled to the active volcano at Mount Karnac.,ヒストリウム・マグヌスが盗まれた！今わかっているのは、犯人はカルナック火山に逃亡したということだ。
"Nephilim Base near Sandraka, Year 999",サンドラカ近郊のネフィリム軍基地、999年
Chapter 21: Liberating Sandraka,第21章:サンドラカ解放
"We have established a strongpoint on the Sandraka continent. If we can seize the large city of Crestmoor, we will strike a critical blow to Casamir's grip on the South.",自陣営は、サンドラカ大陸に拠点を確立した。クレストムーア市を制圧できれば、カサミールの南部支配に大打撃を与えられるはずだ。
"Greywind Peak, Year 999",グレイウィンド山、999年
Chapter 22: Greywind Peak,第22章:グレイウィンド山
"Greywind Peak stands before us, and within it, Diana's destiny as a fully-realized Nephilim warrior.",グレイウィンド山が一行の前に立ちはだかる。そこには、完全なるネフィリム戦士としてダイアナの運命を導くものが眠っているという。
"Nephilim Army Sayunaa Front Base, Year 999",ネフィリム軍サユナー前線基地、999年
Chapter 23: Unwise Alliance,第23章:破滅の同盟
"The Kingdom of Sayunaa has subjugated itself to Casamir to avoid war, and has disposed of their own monarchs. We must try to rein in the Sayunaari, by any means necessary.",サユナー王国は戦争を避けるためにカサミールに服従し、自国の王朝を廃した。今のサユナーの動きは、なんとしても阻止しなければならない。
"Ezrum, Year 999",エズラム、999年
Chapter 24: Scorched Sands,第24章:灼熱の砂
"The Sayunaari have thrown in completely for Casamir, and against us. We must try to salvage the situation. By reducing their warmaking ability, we may demoralize them enough to call for peace.",サユナーは完全にカサミールを支持し、一行に牙をむいた。この状況をなんとかして変えなければならない。敵の戦争能力を低下させれば、その士気をくじき、和平を求めることができるかもしれない。
"Fort Dakur, Year 999",ダクール砦、999年
Chapter 25: Kingdom of Gold,第25章:黄金の国
"The golden city of Sayunaa's capital lies before us. Regent Lord Cyrus stands defiant, throwing many unwilling Sayunaari into battle. May Donar bring this war to an end soon.",一行は黄金の国サユナーの都に到着した。宰相のサイラスは抵抗し、多くの望まぬサユナー兵を戦闘に投入してきた。ドナーの名の下に、この戦争を速やかに終結させよう。
"Nephilim Army Front Base outside Stormrook, Year 999",ストームルーク外部のネフィリム軍前線基地、999年
Chapter 26: Stormrook Looms,第26章:ストームルーク
"With Sayunaa and its resources on our side, our army has grown powerful. We now face a massive clash in the Rimorgue River Valley. If we can conquer Stormrook and Rimorgue, Casamir is doomed.",サユナーが味方になり、その資源を得たことで、自軍の兵力は大幅に強化された。今、リモーグ渓谷で世界最大の会戦が行われようとしている。ここでストームルークとリモーグを制圧すれば、カサミールの命運は途絶えるだろう。
"Nephilim Army Front Base at Armitage, Year 999",アーミテージのネフィリム軍前線基地、999年
Chapter 27: Return to the Origin,第27章:因縁の地へ
"Casamir refuses to surrender despite obvious defeat. As we move to conquer Armitage, we must consider the lives of the Imperial soldiers whose morale is broken and are desperate for peace.",敗北は明らかであるにもかかわらず、カサミールは降伏を拒否している。これよりアーミテージ制圧に向けて動き出すが、士気を失い、平和を切望している帝国兵の助命を考慮すべきだろう。
"Armitage Base, Year 999",アーミテージ基地、999年
Chapter 28: Downfall,第28章:奈落の底へ
"The enemy has holed himself up in the Imperial Palace. The Followers of Zanatus have mobilized their most deadly forces. Have no mercy for the cultists, or Casamir.",カサミールは宮殿で最後の抵抗に出た。ザナトゥス教団は最強の部隊を動員し、彼を援護している。さあ、時は来た。カルト教団とカサミールを一挙に粉砕しよう。
"Imperial Palace, Year 999",帝国の宮殿、999年
Chapter 29: Zenith of the World,第29章:世界の頂
"The Avatar of Donar is but a few steps from full realization, and the remnants of the Followers of Zanatus are the last barrier in our way. We soon face the cult Grandmaster...",完全なる勝利から、あと1歩のところまで来た。残された障壁は、ザナトゥス教団の残党のみだ。一行はじきに、カルトの最高指導者と対決することになるだろう...
"Gateway at Mount Ptolomea, Year 999",プトロメア山の異世界のゲート、999年
Chapter 30: Armageddon,第30章:アルマゲドン
All of the seals between the Divine Realm and the Mortal Realm are now broken. Armageddon has again come to Tahnra. Destroying Zanatus is the only way to avoid total annihilation.,神と人の世界をつなぐ門の封印が解かれた。アルマゲドンが再びターンラの地に訪れる。ザナトゥスを倒すことが、大惨事を回避する唯一の方法だ。
Gaiden Chapter A: Unrelenting Ambition,外伝A章:蛮勇
"Sybil's recklessness has thrown us into a melee with the Imperial forces at the Felnamia provice. We must both save Sybil, and seize Felnamia.",シビルの無謀な行動により、フェルナミア地方で帝国軍との乱闘に巻き込まれた。シビルを救い、フェルナミアを占領しよう。
Gaiden Chapter B: Dragon's Haven,外伝B章:竜の隠れ里
"The enemy has sought to monopolize war Dragons by annihilating broods not within their control. Azuros, an ancient monarch, could be a powerful ally if we can intercept the Imperial attackers in time.",敵は自らの支配下にないドラゴンを絶滅させることで、軍用ドラゴンを独占しようとしている。帝国の襲撃者を時間内に撃破すれば、強大な古の竜王アズロスが味方になってくれるかもしれない。
Gaiden Chapter C: No Mercy for the Merciful,外伝C章:慈悲深き者への無慈悲
We have located one of the largest child detention complexes in the world. This evil cannot be allowed to continue. Wipe out the enemy completely.,過去最大級の子供の収容施設を発見した。このような悪行を許してはならない。そこに潜む敵を一掃しよう。
Gaiden Chapter D: Clockwork City,外伝D章:産業都市
Casamir has always had an abundance of firearms and cannons at his disposal. It's time to break into their Pyrocite stores in Sandraka City and take this advantage for ourselves.,カサミールは豊富な銃と大砲の供給を得ている。サンドラカ市にある帝国のパイロサイトの貯蔵庫に侵入し、逆にそれを利用してやろう。
Gaiden Chapter E: Ishtar's Lament,外伝E章:イシュタルの嘆き
"I can't shake this feeling, it is familiar, but unsettling...",この感覚は良く知っているものではあるが、どこか危険な臭いがする...
Bronze Arena,ブロンズ闘技場
Silver Arena,シルバー闘技場
Gold Arena,ゴールド闘技場
Platinum Arena,プラチナ闘技場
Endurance Trial,勝ち抜き戦
Legends 1A: Promise of Peace,伝説1A平和の約束
Florina Iblis's claim to the Imperial throne brings hopes for the end to the Succession War. But surely the claim will be contested...,フロリーナ・イブリスが帝位継承の正統性を主張したことで、継承戦争終結への希望がもたらされた。ただし、その主張は武力で試されることだろう...
Legends 1B: Defend the Claim,伝説1B:大防衛戦
The pretenders to the throne have launched a final desperate bid to stop Florina's coronation. Defend Imperial territory from invasion!,王位を狙う者たちは、フロリーナの即位を阻止するために、最後の賭けに打って出た。帝国を侵略者の手から守ろう！
Legends 2: Barek Tor,伝説2:バレクトール
,
Legends 3A: Whispers from Grothnor,伝説3A:グロスノーの囁き
Fort Rittenbach has claimed another scout party... missing without explanation. Duke Jaromir mobilizes his army to personally investigate.,リッテンバッハ砦より、変事ありとの一報が入る。ジャロミール公爵は、自ら軍を率いて調査に乗り出すのだった。
Legends 3B: Life and Unlife,伝説3B:生者と不死者
"Grothnor's undead hordes have reached as far as Embor, and the other nobles refuse to help. Defend Embor at all costs!",グロスノーのアンデッド大軍がエンボーを取り囲み、他の貴族の援護も得られない。絶体絶命のエンボー軍を、何とかして勝利に導こう！
Legends 4: Pendergast's Folly,伝説4:ペンダーガストの罪業
Legends 5: Shadowchaser,伝説5:影追う者
Legends 6: Queen of Dragons,伝説6:竜の女王
"Azuros has left suddenly. Scouts report a rival brood, controlled by the Archaelus Empire, has threatened Azuros's hidden brood hive.",アズロスが突如として一行の元を去った。どうやらアルケロス帝国が、竜族の巣を脅かしているらしい。
Grassland,草原
Ramp,階段
Cliffs,崖
Hazard,ダメージ床
Lava Cave,溶岩洞窟
High Ground,高地
Ladder,はしご
Road,道路
Bridge,橋
Dungeon,地下牢
Shadows,影
Ambush Trench,奇襲塹壕
Industrial,工場
Tower,塔
Throne,玉座
Divine Realm,神界
Hills,山
Plains,平原
Wheat Field,麦畑
Town,町
Wall,壁
Desert,砂漠
Snow,雪原
Woods,林
Forest,森
Water,水
Swamp,沼
Ship,船
Sky,空
Mountains,山地
Mine,鉱山
Stables,馬小屋
Fort,砦
Base,基地
Temple,神殿
Village,村
Bazaar,バザール
Slow,低速
Light,軽量
Infantry,歩兵
Cavalry,騎兵
Flying,飛行
Clear,晴れ
Cloudy,曇り
Overcast,黒雲
Rainy,雨
Storm,嵐
Snowy,雪
Blizzard,吹雪
Indoors,屋内
Stormy,荒天
Heat Wave,熱波
"Ah, there you are, child of destiny. You've arrived\NEWLINE  at a very opportune time, you will find.",ああ来たか、運命の子よ。\NEWLINE実に良い時に来てくれたものだ。
"Let me look into your heart. Who are you? Will your\NEWLINE  journey be marked by virtue, or will this land's people\NEWLINE  remember you as an adversary?",それでは、いくつかの問いから、そなたの心の中を覗いてみよう...\NEWLINEそれにより、未来に英雄として名を刻むか、\NEWLINE恐るべき覇王になるかもわかるだろう。
"Thank you. What an intriguing soul! Go, and I will\NEWLINE  see you here again when the time is right.",うむ、これで冒険の準備は整った。\NEWLINEでは行くがよい、時が来たらまた会おう！
"Go forth, and leave your mark on this world!",さあ、この世界に己の爪痕を残すのだ！
Which form suits you?,そなたが宿る肉体を選ぶがよい。
Please tell me your name.,そなたの名を言うがよい。
So you have chosen...,では、以下の名でよろしいか...？
Yes,はい
No,いいえ
"When on death's door, what will you consider a life well-lived?",死の間際に人生を振り返ったとする。次のうちのどれが理想か？
I did it all my way,欲望のままに突き進んだ人生
I fulfilled who I was meant to be,己の使命を果たした人生
Many will mourn my passing,多くの人に愛された人生
"A desperate beggar corners you, demanding money.\NEWLINEWhat do you do?",悲しげな物乞いが金銭を要求してきた。\NEWLINEそなたならどうする？
Intimidate him into backing down.,怒鳴って追い払う
Talk your way out of the situation.,その境遇から脱出する術を説く
Offer him a warm meal at the local pub.,近くの食堂で食事をふるまう
What is the most important trait a leader should have?,リーダーとして最も重要な資質は何であろう？
The ability to bring people together,部下を取りまとめる頭脳
An unshakeable love for the people,部下への惜しみなき愛情
The power to command respect and fear,部下に恐怖を抱かせる威厳
What most leads to the downfall of great civilizations?,偉大な文明の崩壊に最もつながりやすいものは？
Faithlessness,道徳的堕落
Poverty,貧困
Intolerance,不寛容
"You were blessed with a child. \NEWLINEIf you could choose their fate, what would it be?",自分に子供が産まれた。\NEWLINEその子の道を選べるとしたら、次のうちどれにする？
A famous musician,人気ミュージシャン
A great general,偉大な将軍
A devout follower of the faith,敬虔な信者
What do you look for most in a mate?,配偶者に一番求めるものは？
Beauty,美しい容姿
Wealth and Prestige,富と社会的地位
Intellect,知性
"As a potential ruler in difficult times, \NEWLINEwhat are your most effective tools?",困難な時代の統治者となる時、\NEWLINE最も効果的な政治的道具は？
Your kind heart,弱者への支援
Your inspiring charisma,指導者のカリスマ性
Fear,厳罰の恐怖
Which personal flaw do you want to avoid most?,次のうち、最も好ましくない人間的弱点は？
Deceptive and exploitative,狡猾な嘘つき
Easily manipulated,信じやすく騙されやすい
Lack of Willpower,意志薄弱な根性なし
You must give up your most valuable possession. \NEWLINEWhat is it?,大切な物を手放さなければならないとする。\NEWLINEそれは次のうちどれであろう？
Your vast wealth,莫大な富
Your battle prowess,強大な力
Your faith,神への信仰
"Allows us to access the Bronze Arena from Home Base, then the Token is consumed. The Bronze Arena takes place in a Temperate climate, offers a low challenge, and modest rewards.",本拠地からブロンズ闘技場に行くことができる。トークンを1枚消費する。ブロンズ闘技場の戦いは温暖な気候で開催され、難易度が低く、報酬も控えめ。
"Allows us to access the Silver Arena from Home Base, then the Token is consumed. The Silver Arena takes place in a Tundra climate, offers a medium challenge, and good rewards.",本拠地からシルバー闘技場に行くことができる。トークンを1枚消費する。シルバー闘技場の戦いはツンドラで開催され、難易度は普通、報酬はそこそこ。
"Allows us to access the Gold Arena from Home Base, then the Token is consumed. The Gold Arena takes place in a Desert climate, offers a high challenge, and excellent rewards.",本拠地からゴールド闘技場に行くことができる。トークンを1枚消費する。ゴールド闘技場の戦いは砂漠で開催され、難易度は高め、報酬は多め。
"Allows us to access the Platinum Arena from Home Base, then the Token is consumed. The Platinum Arena takes place in a Temperate climate, offers the greatest challenge, and incredible rewards.",本拠地からプラチナ闘技場に行くことができる。トークンを1枚消費する。プラチナ闘技場の戦いは通常の気候で開催され、難易度は最高、報酬も最高。
"To embrace your destiny, and become who you are, is life's greatest purpose.",運命を受け入れ、ありのままの自分になることは、人生の最大の目的である。
"Used to unlock a huge amount of classes. Required for all Heavy Infantry and Heavy Cavalry, as well as many high-end Light Infantry and Cavalry, Archery, and Firearms units.",すべての重装歩兵と重装騎兵、および多くのハイエンド軽装歩兵、騎兵、弓兵、火器兵ユニットに必要。
"Used to unlock high-end attackers. Required for Champion, Centurion, Knight, Assassin, Warbow, and Swordmaster.",ハイエンドのアタッカーに使用。チャンピオン、センチュリオン、ナイト、アサシン、ウォーボウ、ソードマスターに必要。
"Used for high-end Mage and Support units. Required for Paladin, Valkyrie, Fire Mage, Lightning Mage, Ice Mage, Sorceress, and Templar.",ハイエンドのメイジおよびサポートユニットに使用。パラディン、ヴァルキリー、ファイアメイジ、ライトニングメイジ、アイスメイジ、ソーサレス、テンプラーに必要。
"Used as a baseline resource for all Magicians, as well as Priestess, Templar, and Hospitaller.",すべての魔法使い系、プリーステス、テンプラー、ホスピタラーの基礎資源として使用。
"Used to create Firearms. Required for Gunner, Dragoon, and Siege Cannon.",火器の制作に使用される。ガンナー、ドラグーン、シージキャノンに必要。
Required for all forms of Cavalry.,すべての騎兵に必要。
Gain a small amount of gold per fallen enemy defeated in any combat,すべての戦闘で、倒れた敵を倒すごとに少量のゴールドを獲得する
Defensive bonuses from Terrain are 50% more effective,地形による防御ボーナスの効果が50％向上する
Deal 20% more and take 20% less damage if Covering the Squad Leader,部隊リーダーをカバーしている場合、与ダメージが20％増加し、被ダメージが20％減少する
Unit deals +25% damage for every incapacitated Unit in this Squad,ユニットは、この部隊の戦闘不能ユニット1体ごとに+25％のダメージを与える
"Deal damage to enemy Morale, increases as STR increases",敵の士気にダメージを与える。STRが上がると効果も増大する
This unit is more likely to be targeted by enemies in battle,このユニットは戦闘で敵に狙われやすくなる
Unit is less likely to be targeted by enemies in battle,このユニットは戦闘で敵に狙われにくくなる
Unit takes 25% less damage when under 50% Max HP,最大HPが50％未満の場合、ユニットの被ダメージが25％減少する
Enemies cannot Critical Hit this Unit,敵はこのユニットにクリティカルヒットできない
Critical hits bypass 100% of target armor,クリティカルヒットは、ターゲットの装甲を100％無視する
Critical damage increased by 50%,クリティカルヒットのダメージが50％増加する
Archery units in this Squad cost 2 less capacity,この部隊の弓兵ユニットのコストが2減少する
Heavy Infantry units in this Squad cost 2 less capacity,この部隊の重装歩兵ユニットのコストが2減少する
Heavy Cavalry units in this Squad cost 2 less capacity,この部隊の重装騎兵ユニットのコストが2減少する
"Unit can no longer Critical Hit, but deals +15% damage",このユニットはクリティカルヒットを出せなくなるが、与ダメージ+15％
"Unit has a chance, based on SKL, to prevent its primary target from counter-attacking in the same battle",ユニットはSKLに基づいて、同じ戦闘内におけるメインターゲットの反撃を防ぐことがある。
Bonuses to Hit confer a partial bonus to critical hit chance (max: 15%),ヒットボーナスは、クリティカルヒット率にも部分的ボーナスを与える（最大:15％）
Dealing Critical Hits restore a small amount of HP,クリティカルヒットを与えると、HPが少し回復する
"Any Archery attacks from this unit will ignore the penalty for firing at Walls, or Woods from 2+ Range",このユニットが弓で攻撃する時、射程2以上からの壁または森への射撃ペナルティを無視する
Unit does +50% more damage to Dragons.,ユニットがドラゴンに与えるダメージ+50％
Unit gains resistance to Magician and Dragon attacks as STR increases,STRが増加すると、ユニットは魔法使いおよびドラゴンの攻撃に対する耐性を獲得する
Gain +3 STR at the start of battle for every Unit in the enemy Squad,戦闘開始時、敵部隊のユニット1体につきSTR +3
Unit has a chance for an extra action for every enemy below 25% HP at the end of combat,戦闘終了時にHPが25％未満の敵が多いほど、ユニットは高確率で追加アクションを行う
"When being healed, the effect is increased by 50%",回復時、その効果が50％アップする
+25% damage to already damaged enemies,すでにダメージを受けている敵への与ダメージ+25％
"When an ally is healed, this unit is also healed for 25% of the effect",味方が回復すると、このユニットもその25％を回復する
"At the start of battle, gain a barrier equal to 50% of MAG",戦闘開始時、MAGの50％の値のバリアを獲得する
Gain STR equal to 25% of MAG,STRにMAGの25％の値を加算する
Gain SKL equal to 33% of MAG,SKLにMAGの33％の値を加算する
Gain MaxHP equal to 100% of MAG,最大HPにMAGの100％の値を加算する
Deal +25% damage while on defense,守備側の時、与ダメージ+25％
