ENGLISH,ZH-cn,
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: 1 Gem\\PARBattle Actions: 1 Dark Magic attack 1 range\\PARSpecial: Chance to Stun or Daze targets. Daze lowers enemy STR for the duration of the battle, while Stun completely negates one enemy turn",可以担任队长：是\\PAR职阶：2\\PAR单位类型：法师\\PAR移动类型：缓慢\\PAR需要资源：1宝石\\PAR战斗行动：对1格范围使用暗魔法攻击1次\\PAR特色：有机会击晕或迷惑目标。被迷惑的敌人的力量会在战斗期间降低，被击晕的敌人在1个回合内无法动弹,
Class: Sentinel,职业：卫兵,
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 3 Iron\\PARBattle Actions: 2 Polearm attacks at 1 range\\PARSpecial: +15% Damage Dealt if adjacent to another Polearm user in the same row, -50% damage taken from Firearm attacks, +35% Damage dealt to Cavalry units",可以担任队长：是\\PAR职阶：3\\PAR单位类型：重步兵\\PAR移动类型：普通\\PAR需要资源：3铁\\PAR战斗行动：在1格范围内使用长柄攻击2次\\PAR特色：如果在同一排与一个长柄单位相邻，则造成+15%的伤害。受到火器攻击的伤害-50%。对骑兵单位造成+35%的伤害,
Class: Champion,职业：冠军剑士,
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 2 Iron, 2 Obsidian\\PARBattle Actions: 2 Slashing double-attacks at 1 range\\PARSpecial: -",可以担任队长：是\\PAR职阶：3\\PAR单位类型：重步兵\\PAR移动类型：普通\\PAR需要资源：2铁，2黑曜石\\PAR战斗行动：在1格范围内双重挥砍2次\\PAR特色：无,
Class: Zweihander,职业：双手剑士,
Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 2 Iron\\PARBattle Actions: 2 Wide-sweeping Slashing attacks at 1 range\\PARSpecial: Attacks deal splash damage to 1 tile adjacent to the target in the same row,可以担任队长：是\\PAR职阶：3\\PAR单位类型：重步兵\\PAR移动类型：普通\\PAR需要资源：2铁\\PAR战斗行动：在1格范围内大范围挥砍2次\\PAR特色：攻击对相邻1格的同排敌人造成溅射伤害,
Class: Centurion,职业：百夫长,
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 2 Iron, 2 Obsidian\\PARBattle Actions: 2 Piercing Polearm attacks at 1 range\\PARSpecial: Attacks deal splash damage to 1 tile behind the target, +15% Damage dealt if adjacent to another Polearm user in the same row, +35% Damage dealt to Cavalry units",可以担任队长：是\\PAR职阶：3\\PAR单位类型：重步兵\\PAR移动类型：普通\\PAR需要资源：2铁，2黑曜石\\PAR战斗行动：在1格范围内发动2次长柄穿刺\\PAR特色：攻击对目标后方1格造成溅射伤害。如果在同一排与一个长柄单位相邻，则造成+15%的伤害。对骑兵单位造成+35%的伤害,
Class: Samurai,职业：武士,
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 2 Iron\\PARBattle Actions: 2 Polearm attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial: 15% Polearm Damage dealt if adjacent to another Polearm user in the same row, +35% Polearm Damage dealt to Cavalry units. 35% more base Evasion than other Heavy classes",可以担任队长：是\\PAR职阶：3\\PAR单位类型：重步兵\\PAR移动类型：普通\\PAR需要资源：2铁\\PAR战斗行动：在1格范围内长柄攻击2次，或在2格范围内扫射1次\\PAR特色：如果在同一排与一个长柄单位相邻，则造成+15%的伤害。对骑兵单位造成+35%的长柄伤害。基础闪避比其他重型职业高35%,
Class: Paladin,职业：圣骑士,
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required: 2 Iron, 1 Sunstone\\PARBattle Actions: 2 Striking attacks at 1 range, or 1 Striking attack and 1 heal if an ally is below %50 HP\\PARSpecial: Resists Magic and Dragon Breath attacks by 25% of this unit's Armor value",可以担任队长：是\\PAR职阶：3\\PAR单位类型：重步兵\\PAR移动类型：普通\\PAR需要资源：2铁，1日光石\\PAR战斗行动：在1格范围内攻击2次；如果友军的生命值低于50%，则攻击1次、治疗1次\\PAR特色：该单位的25%护甲值会减免魔法和龙息攻击,
Class: Knight,职业：骑士,
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Cavalry\\PARMovement Type: Fast\\PARResources Required: 2 Iron, 1 Obsidian, 1 Horse\\PARBattle Actions: 2 Slashing attacks with splash damage to adjacent targets at 1 range\\PARSpecial: On offense, if Squad moved maximum possible range, this unit's 1st attack is a 'Charge Attack' which can Stun the target",可以担任队长：是\\PAR职阶：3\\PAR单位类型：重骑兵\\PAR移动类型：快速\\PAR需要资源：2铁、1黑曜石、1马\\PAR战斗行动：在1格范围内挥砍2次并对相邻目标造成溅射伤害\\PAR特色：进攻时，如果小队移动到最远的可移动范围，该单位的第一次攻击是“冲锋攻击”，可以击晕目标,
Class: Valkyrie,职业：女武神,
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Cavalry\\PARMovement Type: Fast\\PARResources Required: 2 Iron, 1 Sunstone, 1 Horse\\PARBattle Actions: 2 Slashing attacks at 1 range, or 1 Slashing attack and 1 heal if an ally is below %50 HP\\PARSpecial: On offense, if Squad moved maximum possible range, this unit's 1st attack is a 'Charge Attack' which can Stun the target, Resists Magic and Dragon Breath attacks by 25% of this unit's Armor value",可以担任队长：是\\PAR职阶：3\\PAR单位类型：重骑兵\\PAR移动类型：快速\\PAR需要资源：2铁、1日光石、1马\\PAR战斗行动：在1格范围内挥砍2次；如果有友军生命值低于50%，则治疗1次、重击1次\\PAR特色：进攻时，如果小队移动到最远的可移动范围，该单位的首次攻击是“冲锋攻击”，能够击晕目标。该单位的25%护甲值会减免魔法和龙息攻击,
Class: Ranger,职业：游侠,
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: -\\PARBattle Actions: 1 Crossbow attack at 1 range followed by 1 Slashing attack at 1 range\\PARSpecial: Crossbow attack bypasses enemy Cover and Block from formations. Increased evasion in woods, townscape, hills, and swamp",可以担任队长：是\\PAR职阶：3\\PAR单位类型：轻步兵\\PAR移动类型：轻型\\PAR需要资源：无\\PAR战斗行动：对1格范围弩箭攻击1次，挥砍1次\\PAR特色：弩箭攻击不受敌人队伍的掩护和阻挡影响。增加在树林、城镇景观、丘陵和沼泽的闪避,
Class: Assassin,职业：刺客,
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: 2 Obsidian\\PARBattle Actions: On Offense, 1 Stealth Attack at 1 range, followed by 1 Slashing attack at 1 range. On Defense, 2 Slashing attacks at 1 range\\PARSpecial: When on Offense, first attack can hit the back row of the target Squad with increased damage",可以担任队长：是\\PAR职阶：3\\PAR单位类型：轻步兵\\PAR移动类型：轻型\\PAR需要资源：2黑曜石\\PAR战斗行动：进攻时，在1格范围内发动1次潜行攻击，然后在1格范围内挥砍1次。防御时，在1格范围内挥砍2次\\PAR特色：进攻时，第一次攻击可以击中后排并造成更高伤害,
Class: Swordmaster,职业：剑圣,
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: 1 Iron, 2 Obsidian\\PARBattle Actions: 2 Slashing double-attacks at 1 range\\PARSpecial: Increased evasion in woods, townscape, hills, and swamp",可以担任队长：是\\PAR职阶：3\\PAR单位类型：轻步兵\\PAR移动类型：轻型\\PAR需要资源：1铁，2黑曜石\\PAR战斗行动：在1格范围内双重攻击2次\\PAR特色：增加在树林、城镇景观、丘陵和沼泽的闪避,
Class: Hussar,职业：骠骑兵,
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Light Cavalry\\PARMovement Type: Light, Fast\\PARResources Required: 2 Iron, 1 Horse\\PARBattle Actions: 2 Polearm attacks at 1 range\\PARSpecial: On offense, if Squad moved maximum possible range, this unit's 1st attack is a 'Charge Attack' which can Stun the target, +35% Damage dealt to Cavalry units. Increased evasion in woods, townscape, hills, and swamp.  +50% Evasion on offense.",可以担任队长：是\\PAR职阶：3\\PAR单位类型：轻骑兵\\PAR移动类型：轻型、快速\\PAR需要资源：2铁，1马\\PAR战斗行动：对1格范围发动2次长柄攻击\\PAR特色：进攻时，如果小队移动到最远的可移动范围，该单位的第一次攻击是可以击晕目标的“冲锋攻击”。对骑兵单位造成+35%的伤害。增加在树林、城镇景观、丘陵和沼泽中的闪避。进攻时，+50%闪避。,
Class: Warbow,职业：战弓手,
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Archery\\PARMovement Type: Normal\\PARResources Required: 2 Obsidian\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 or 3 range\\PARSpecial: -",可以担任队长：是\\PAR职阶：3\\PAR单位类型：弓兵\\PAR移动类型：普通\\PAR需要资源：2黑曜石\\PAR战斗行动：在1格范围内弓箭攻击2次，或在2-3格范围内扫射1次\\PAR特色：无,
Class: Raider,职业：骑射手,
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Archery\\PARMovement Type: Light, Fast\\PARResources Required: 1 Iron, 1 Horse\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial:  +50% Evasion on offense.",可以担任队长：是\\PAR职阶：3\\PAR单位类型：弓兵\\PAR移动类型：轻型、快速\\PAR需要资源：1铁，1马\\PAR战斗行动：在1格范围内弓箭攻击2次，或在2格范围内扫射1次\\PAR特色：进攻时闪避+50%。,
Class: Gunner,职业：火枪兵,
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Firearms\\PARMovement Type: Normal\\PARResources Required: 2 Iron, 1 Pyrocite\\PARBattle Actions: 1 Gun attack at 1 range\\PARSpecial: Attacks ignore 75% of Armor, damage derived from Weapon Power and not STR.",可以担任队长：是\\PAR职阶：3\\PAR单位类型：火器\\PAR移动类型：普通\\PAR需要资源：2铁，1火铁矿\\PAR战斗行动：对1格范围枪击1次\\PAR特色：攻击无视75%的护甲，伤害由武器威力决定，而不是力量,
Class: Dragoon,职业：龙骑兵,
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Firearms\\PARMovement Type: Fast\\PARResources Required: 2 Iron, 1 Pyrocite, 1 Horse\\PARBattle Actions: 1 Gun attack at 1 range\\PARSpecial: Attacks ignore 75% of Armor, damage derived from Weapon Power and not STR.",可以担任队长：是\\PAR职阶：3\\PAR单位类型：火器\\PAR移动类型：快速\\PAR需要资源：2铁，1火铁矿，1马\\PAR战斗行动：对1格范围枪击1次\\PAR特色：攻击无视75%的护甲，伤害由武器威力决定，而不是力量,
Class: Siege Cannon,职业：攻城炮,
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Firearms\\PARMovement Type: Normal\\PARResources Required: 3 Iron, 1 Pyrocite, 1 Horse\\PARBattle Actions: On Offense, 1 Explosive Cannon attack at 1, 2, or 3 range\\PARSpecial: Deals Splash damage to surrounding tiles. Attacks ignore 75% of Armor, damage derived from Weapon Power and not STR. Cannot counter-attack.",可以担任队长：是\\PAR职阶：3\\PAR单位类型：火器\\PAR移动类型：普通\\PAR需要资源：3铁，1火铁矿，1马\\PAR战斗行动：进攻时，用火炮对1、2或3格范围发动1次爆炸攻击\\PAR特色：对周围的格子造成溅射伤害。攻击无视75%的护甲，伤害由武器威力决定，而不是力量无法反击。,
Class: Templar,职业：圣疗者,
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Support\\PARMovement Type: Slow\\PARResources Required: 1 Sunstone, 1 Gems\\PARBattle Actions: 2 Heals of the weakest ally\\PARSpecial: Can use a Squad's turn to heal members of an adjacent Squad",可以担任队长：是\\PAR职阶：3\\PAR单位类型：辅助\\PAR移动类型：缓慢\\PAR需要资源：1日光石，1宝石\\PAR战斗行动：治疗2名最虚弱的友军\\PAR特色：小队可以使用一回合来治疗相邻小队的成员,
Class: Hospitaller,职业：疗骑士,
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Support\\PARMovement Type: Fast\\PARResources Required: 1 Gems, 1 Horse\\PARBattle Actions: 1 Heal of the weakest ally\\PARSpecial: Can use a Squad's turn to heal members of an adjacent Squad",可以担任队长：是\\PAR职阶：2\\PAR单位类型：辅助\\PAR移动类型：快速\\PAR需要资源：1宝石，1马\\PAR战斗行动：治疗1名最虚弱的友军\\PAR特色：小队花费一回合来治疗相邻小队的成员,
Class: Fire Mage,职业：火法师,
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: 2 Gems, 1 Sunstone\\PARBattle Actions: 1 Wide-sweeping Fire Magic attacks at 1 range\\PARSpecial: Does full damage to the entire target Row",可以担任队长：是\\PAR职阶：3\\PAR单位类型：法师\\PAR移动类型：缓慢\\PAR需要资源：2宝石，1日光石\\PAR战斗行动：对1格范围用火焰魔法扫击1次\\PAR特色：无整排敌人造成全额伤害,
Class: Ice Mage,职业：冰法师,
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: 2 Gems, 1 Sunstone\\PARBattle Actions: 1 Explosive Ice Magic attacks at 1 range\\PARSpecial: Does splash damage to a large diamond-shaped area around the target and inflicts the Chill status effect, which significantly lowers enemy SKL for the duration of the battle",可以担任队长：是\\PAR职阶：3\\PAR单位类型：法师\\PAR移动类型：缓慢\\PAR需要资源：2宝石，1日光石\\PAR战斗行动：对1格范围用冰魔法发动1次爆炸攻击\\PAR特色：对目标的前后左右造成溅射伤害并造成寒冷状态效果，在战斗期间显著降低敌方灵巧值,
Class: Lightning Mage,职业：雷法师,
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: 2 Gems, 1 Sunstone\\PARBattle Actions: 1 Column-Piercing Lightning Magic attacks at 1 range\\PARSpecial: Does full damage to the entire target column, has a chance to inflict Daze, which lowers STR for the duration of the battle, or a small chance to inflict Stun, which completely negates one enemy turn",可以担任队长：是\\PAR职阶：3\\PAR单位类型：法师\\PAR移动类型：缓慢\\PAR需要资源：2宝石，1日光石\\PAR战斗行动：对1格范围用闪电魔法对1列发动穿刺\\PAR特色：对整列敌人造成全额伤害，有几率迷惑敌人并在战斗期间降低敌人力量；或者有小几率造成击晕敌人，使敌人无法行动一回合,
Class: Sorceress,职业：女术士,
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: 2 Gems\\PARBattle Actions: 1 Explosive Dark Magic attacks 1 range\\PARSpecial: Does splash damage to a large diamond-shaped area around the target. Chance to Stun or Daze targets. Daze lowers enemy STR for the duration of the battle, while Stun completely negates one enemy turn",可以担任队长：是\\PAR职阶：3\\PAR单位类型：法师\\PAR移动类型：缓慢\\PAR需要资源：2宝石\\PAR战斗行动：对1格范围用黑魔法发动1次爆炸攻击\\PAR特色：对目标的前后左右造成溅射伤害。有机会击晕或迷惑目标。被迷惑的敌人的力量会在战斗期间降低，被击晕的敌人在1个回合内无法动弹,
Class: Drakeling,职业：幼龙幼龙,
Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Dragon\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.,可以担任队长：否\\PAR职阶：1\\PAR单位类型：龙\\PAR移动类型：普通\\PAR需要资源：\\PAR战斗行动：对1格范围发动2次龙息攻击\\PAR特色：龙息伤害由力量和魔法共同决定，两者比重相同。,
"Attack Types, Armor, Bonuses and Effectiveness",攻击类型、护甲、加成和效果,
"Warfare in the battlefields of Symphony of War are based around Armor. How to get more of it, or how to bypass it. Armor is advanced enough in this era that it is very effective against traditional attacks from melee weapons and bows, but offer little protection against Firearms and Magic.\\PARThe importance of Armor, which is highest in Heavy Infantry and Heavy Cavalry, is clearly represented in the militaries of Tahnra, who by and large invest a majority of their army sizes into Heavy units, with Archery being a common suppliment.\\PARA clever commander can easily think of ways to shake up the warfare meta-game of modern Tahnra, be it with ambushes by Light Squads, shocking Cavalry Charge attacks, or brute forcing through Armor with Firearms, Magicians, or Dragons.\\PARLight and Medium armor classes comprise everything not part of the Heavy Infantry or Heavy Cavalry Unit Types. Light Infantry, Light Cavalry, Archery, and Firearms Units are Medium Armor, while Support and Magicians are Light Armor. There are no special modifiers for attacks against these classes. They simply have significantly less Armor value than Heavy units.",战争交响曲战场上的战争以护甲为基础。关键在于如何获得更多护甲，并无视敌人护甲。在这个时代，护甲已经先进到可以有效地防御诸如近战武器和弓箭的传统攻击了，不过却基本无法抵抗火器和魔法。\\PAR护甲对重步兵和重骑兵来说至关重要，其效果可以直观的体现在战斗中。在塔恩拉，军队通常以重型部队为主，弓兵为辅。\\PARA聪明的指挥官可以轻松想出扭转塔恩拉战局的方法，无论是用轻型小队伏击、骑兵冲锋攻击，还是用火器、魔法师或龙的蛮力，都能强行突破装甲。\\PAR除了重型步兵或重型骑兵以外的单位都采用轻甲和中甲。轻步兵、轻骑兵、弓兵和火器单位是中甲，而辅助和法师是轻甲。没有专门克制这些职业的单位。而它们的护甲值也明显低于重型单位。,
Movement Types,移动类型,
"Squad movement is derived from the units within it. Majority movement type of the squad almost always determines Squad movement type. In the case of a tie, it follows a hierarchy. Flying > Slow > Normal > Fast. Meaning, a tie between Flying units and other movement types will always create a Flying Squad. (Some units cancel flying movement. These include any Cavalry, Siege Cannons, or non-flying Dragons.) Conversely, a tie between Fast movement unit types and all other types will never create a Fast Movement type Squad.\\PARThis is the baseline Movement and terrain costs, which can and will be modified by a variety of factors, such as Squad Unit Type, Leadership aspects and traits, and Artifact aspects.",队伍的移动模式由队伍内的单位决定。一般来说，队伍内占多数的移动类型决定整支队伍的移动类型。如果出现数量相同的情况，则遵循这个原则：飞行>慢速>正常>快速。也就是说，飞行单位和其他移动类型持平时，队伍一定会是飞行小队。（一些单位会抵消飞行，包括骑兵、攻城炮或不能飞行的龙。） 相反，快速和别的类型之间持平时，小队的移动类型一定不是快速。\\PAR移动类型会决定基本移动和地形花费，其他影响移动的因素有：小队单位类型、统率和特性，以及神器等。,
Unit Types,单位类型,
"Squad Type is derived from the units within it. Majority Unit type of the squad almost always determines Squad Type. In the case of a tie, it follows a hierarchy. Normal Infantry > Normal Cavalry > Light > Light Cavalry. Meaning, a tie between Normal units and other unit types will always create a Normal Infantry Squad. Conversely, a tie between Light Cavalry unit types and all other types will never create a Light Cavalry Squad Type.\\PARSquad Type's primary function is to determine which Squads get the significant benefit of being considered a 'Light' Type Squad, which grants the ability to conduct Ambushes, and lowers Movement cost of Rough terrain to 2.4 from 3.\\PARAmbushes are tremendously powerful if executed. Your Light Type Squad must start their turn in Woods, Hills, Swamp, Town tiles, and some field Objectives, and attack a target also inside Ambush territory or directly adjacent. If you execute an Ambush, the enemy cannot counter attack on the first volley, only on the 2nd.\\PAR'Hit and Run' is a feature of Normal Cavalry and Light Cavalry Squad Types. After taking an action such as attacking or healing, a Cavalry Squad can then move again using half of their original total Movement Points.",小队类型由小队内部的单位决定。队伍内占多数的单位类型决定整支队伍的类型。如果出现数量相同的情况，则遵循这个原则：普通步兵>普通骑兵>轻骑兵>轻骑兵。也就是说，普通单位和其他单位持平时，小队类型一定是普通步兵。相反，轻骑兵单位和其他类型持平时，小队类型一定不会是轻骑兵。\\PAR小队类型的主要用来判定谁会成为“轻型”并获得优势。轻型小队可以伏击敌人，在崎岖地形的移动花费为2.4而不是3。\\PAR伏击用起来是十分强大的。轻型小队必须在树林、丘陵、沼泽、城镇地块和一些野外建筑开始回合，并攻击也在伏击地区内的或直接相邻的目标。发动伏击时，敌人无法反击第一轮攻击，只能在反击第二轮。\\PAR“打了就跑”是普通骑兵和轻骑兵小队类型的特性。在攻击或治疗后可以再次移动，移动距离是其原始总移动点数的一半。,
Learnable Trait List (Unit level),可学特性（单位）,
"These Traits are always active and apply only to the Unit. There are more traits, but they are tied to a class or a unique character. All of these traits can either be learned via Skill Tomes, or are innate Traits on randomly-generated Units.\\PAR",这些特性长期有效，仅适用于单位。特性不止这些，不过其他特性与职业或独特角色绑定。可以通过技能书学习获得特性，随机生成的单位也可能会自带特性。\\PAR,
Learnable Trait List (Leader level),可学特性（队长）,
"These Traits can be found on any Unit, but are only active if that Unit is a Squad Leader. There are more traits, but they are tied to a class or a unique character. All of these traits can either be learned via Skill Tomes, or are innate Traits on randomly-generated Units.\\PAR",任何单位都可以有这些特性，但仅当单位为队长时才会启用。特性不止这些，不过其他特性与职业或独特角色绑定。可以通过技能书学习获得特性，随机生成的单位也可能会自带特性。\\PAR,
Loyalty,忠诚,
